MSSV,FullName,ClassCode,DateOfBirth,Hometown,Gender,AdmissionMethod,AdmissionScore,Email,PhoneNumber,Address,Major,Department,AcademicStatus,EnrollmentYear,GPA,AccumulatedCredits,Advisor
20250015,Phan Thanh Dong,CNPM02-K67,14/03/2006,Bac Ninh,Nu,Tuyen thang,26.2,20250015@sis.hust.edu.vn,0957828068,So 76 Pho Chua Boc - Bac Ninh,Cong nghe thong tin,Truong CNTT&TT,Canh cao,2024,2.36,150,Nguyen Van A
20250016,Vu Tuan Tuan,KHMT02-K68,17/10/2005,Can Tho,Nam,Tuyen thang,28.7,20250016@sis.hust.edu.vn,0934674858,So 109 Pho Chua Boc - Can Tho,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2023,2.7,140,Nguyen Van A
20250017,Ly Thanh Quan,KHMT02-K68,07/05/2006,Ha Tinh,Nu,Hoc ba,26.9,20250017@sis.hust.edu.vn,0918489101,So 89 Pho Chua Boc - Ha Tinh,An toan thong tin,Truong CNTT&TT,Bao luu,2024,2.85,72,Nguyen Van A
20250018,Le Van Dong,CTTT02-K68,04/01/2007,Ha Noi,Nam,Diem thi THPT,26.1,20250018@sis.hust.edu.vn,0937793574,So 63 Pho Chua Boc - Ha Noi,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2025,2.15,10,Pham Minh D
20250019,Hoang Quoc Viet,HTTT01-K68,26/09/2004,Thai Nguyen,Nam,Diem thi THPT,25.4,20250019@sis.hust.edu.vn,0914408847,So 14 Pho Chua Boc - Thai Nguyen,Ky thuat may tinh,Khoa Dien tu,Dang hoc,2022,2.86,110,Hoang Duc E
20250020,Ly Xuan Huy,KHMT01-K67,22/03/2004,Can Tho,Nu,Danh gia nang luc,28.9,20250020@sis.hust.edu.vn,0915912834,So 49 Pho Chua Boc - Can Tho,Ky thuat may tinh,Khoa Dien tu,Dang hoc,2022,2.33,4,Nguyen Van A
20250021,Do Xuan Binh,HTTT01-K68,27/04/2004,Hai Phong,Nam,Tuyen thang,27.4,20250021@sis.hust.edu.vn,0910479265,So 115 Pho Chua Boc - Hai Phong,Ky thuat may tinh,Khoa Dien tu,Dang hoc,2022,3.7,8,Le Van C
20250022,Nguyen Van Giang,KHMT01-K67,24/05/2007,Hai Phong,Nam,Diem thi THPT,22.9,20250022@sis.hust.edu.vn,0931925402,So 72 Pho Chua Boc - Hai Phong,Dien tu vien thong,Khoa Vien thong,Bao luu,2025,2.21,100,Nguyen Van A
20250023,Ho Minh Phuc,CTTT02-K68,28/10/2004,Hue,Nam,Tuyen thang,28.4,20250023@sis.hust.edu.vn,0928786528,So 139 Pho Chua Boc - Hue,He thong thong tin,Truong CNTT&TT,Dang hoc,2022,2.56,53,Pham Minh D
20250024,Bui Minh Long,DTVT01-K68,01/11/2005,Da Nang,Nam,Diem thi THPT,28.8,20250024@sis.hust.edu.vn,0947087969,So 120 Pho Chua Boc - Da Nang,Dien tu vien thong,Khoa Vien thong,Dang hoc,2023,3.08,5,Pham Minh D
20250025,Vu Duy Mai,CNPM01-K68,27/11/2005,Ha Noi,Nu,Danh gia nang luc,23.3,20250025@sis.hust.edu.vn,0923898030,So 61 Pho Chua Boc - Ha Noi,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2023,2.16,43,Hoang Duc E
20250026,Ho Ngoc Anh,KHMT02-K68,22/02/2005,Thai Binh,Nu,Hoc ba,28,20250026@sis.hust.edu.vn,0946835903,So 7 Pho Chua Boc - Thai Binh,He thong thong tin,Truong CNTT&TT,Dang hoc,2023,3.16,114,Le Van C
20250027,Dang Ngoc Linh,ATTT03-K68,18/06/2006,Quang Nam,Nam,Hoc ba,29.7,20250027@sis.hust.edu.vn,0920046078,So 40 Pho Chua Boc - Quang Nam,Ky thuat may tinh,Khoa Dien tu,Dang hoc,2024,1.35,19,Le Van C
20250028,Tran Duy Viet,KHMT01-K67,02/01/2005,Thanh Hoa,Nu,Hoc ba,21.5,20250028@sis.hust.edu.vn,0945696943,So 149 Pho Chua Boc - Thanh Hoa,Ky thuat may tinh,Khoa Dien tu,Dang hoc,2023,2.57,88,Hoang Duc E
20250029,Ho Thi Dong,DTVT01-K68,08/04/2004,Nam Dinh,Nu,Hoc ba,29.7,20250029@sis.hust.edu.vn,0914152543,So 65 Pho Chua Boc - Nam Dinh,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2022,3.3,6,Nguyen Van A
20250030,Pham Ngoc Tuan,KHMT01-K67,04/02/2005,Bac Ninh,Nu,Hoc ba,24.2,20250030@sis.hust.edu.vn,0910415288,So 102 Pho Chua Boc - Bac Ninh,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2023,2.7,120,Nguyen Van A
20250031,Pham Minh Hanh,CNPM02-K67,15/07/2006,Nam Dinh,Nam,Tuyen thang,24.4,20250031@sis.hust.edu.vn,0960088056,So 42 Pho Chua Boc - Nam Dinh,An toan thong tin,Truong CNTT&TT,Bao luu,2024,2.19,119,Pham Minh D
20250032,Nguyen Hai Phong,KHMT01-K67,28/11/2006,Can Tho,Nu,Danh gia nang luc,27.1,20250032@sis.hust.edu.vn,0990083951,So 13 Pho Chua Boc - Can Tho,Cong nghe thong tin,Truong CNTT&TT,Canh cao,2024,1,123,Le Van C
20250033,Phan Minh Viet,KHMT01-K67,14/07/2005,Hai Phong,Nam,Hoc ba,27.6,20250033@sis.hust.edu.vn,0941732701,So 12 Pho Chua Boc - Hai Phong,An toan thong tin,Truong CNTT&TT,Dang hoc,2023,1.95,82,Hoang Duc E
20250034,Bui Anh Hung,DTVT01-K68,14/02/2007,Thai Nguyen,Nu,Tuyen thang,26.2,20250034@sis.hust.edu.vn,0927496245,So 94 Pho Chua Boc - Thai Nguyen,Cong nghe thong tin,Truong CNTT&TT,Bao luu,2025,1.71,55,Le Van C
20250035,Tran Duc Huy,KHMT02-K68,07/04/2005,Thanh Hoa,Nam,Tuyen thang,25,20250035@sis.hust.edu.vn,0943065265,So 84 Pho Chua Boc - Thanh Hoa,Ky thuat may tinh,Khoa Dien tu,Bao luu,2023,2.07,131,Nguyen Van A
20250036,Duong Xuan Trang,KHMT02-K68,19/02/2005,Quang Ninh,Nu,Diem thi THPT,28.5,20250036@sis.hust.edu.vn,0945156002,So 123 Pho Chua Boc - Quang Ninh,An toan thong tin,Truong CNTT&TT,Dang hoc,2023,1.08,59,Tran Thi B
20250037,Ngo Quang Phong,KHMT02-K68,26/08/2004,Thai Nguyen,Nam,Danh gia nang luc,26.3,20250037@sis.hust.edu.vn,0982953714,So 24 Pho Chua Boc - Thai Nguyen,Dien tu vien thong,Khoa Vien thong,Dang hoc,2022,3.65,60,Hoang Duc E
20250038,Duong Duy Phuc,KHMT01-K67,25/06/2005,Hai Phong,Nam,Tuyen thang,23,20250038@sis.hust.edu.vn,0983379650,So 73 Pho Chua Boc - Hai Phong,He thong thong tin,Truong CNTT&TT,Dang hoc,2023,2.05,133,Hoang Duc E
20250039,Phan Huu Cuong,CNPM01-K68,06/03/2005,Thai Binh,Nu,Hoc ba,26.8,20250039@sis.hust.edu.vn,0910561020,So 119 Pho Chua Boc - Thai Binh,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2023,1.62,57,Le Van C
20250040,Vu Anh Long,KHMT01-K67,19/02/2005,Nghe An,Nam,Tuyen thang,24.3,20250040@sis.hust.edu.vn,0916016786,So 139 Pho Chua Boc - Nghe An,Ky thuat may tinh,Khoa Dien tu,Bao luu,2023,1.27,33,Pham Minh D
20250041,Pham Thi Dong,HTTT01-K68,27/02/2005,TP HCM,Nu,Hoc ba,26.7,20250041@sis.hust.edu.vn,0931131012,So 2 Pho Chua Boc - TP HCM,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2023,2.57,19,Tran Thi B
20250042,Ly Thanh Yen,CTTT02-K68,03/11/2004,Bac Ninh,Nu,Hoc ba,24.3,20250042@sis.hust.edu.vn,0980835683,So 149 Pho Chua Boc - Bac Ninh,An toan thong tin,Truong CNTT&TT,Dang hoc,2022,2.14,62,Le Van C
20250043,Dang Hai Linh,KHMT01-K67,01/04/2004,Thai Nguyen,Nu,Tuyen thang,23.4,20250043@sis.hust.edu.vn,0941949907,So 5 Pho Chua Boc - Thai Nguyen,He thong thong tin,Truong CNTT&TT,Canh cao,2022,3.48,116,Tran Thi B
20250044,Ho Hai Son,KHMT01-K67,28/07/2005,Hue,Nu,Hoc ba,23.7,20250044@sis.hust.edu.vn,0970892653,So 17 Pho Chua Boc - Hue,Ky thuat may tinh,Khoa Dien tu,Bao luu,2023,2.73,13,Hoang Duc E
20250045,Ho Duc Hai,CTTT02-K68,12/11/2007,Hai Phong,Nam,Diem thi THPT,28.2,20250045@sis.hust.edu.vn,0945290466,So 90 Pho Chua Boc - Hai Phong,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2025,3.95,8,Le Van C
20250046,Nguyen Van Huy,KHMT01-K67,17/05/2006,Ha Noi,Nu,Tuyen thang,29.5,20250046@sis.hust.edu.vn,0987071924,So 128 Pho Chua Boc - Ha Noi,Dien tu vien thong,Khoa Vien thong,Bao luu,2024,1.79,83,Tran Thi B
20250047,Nguyen Anh Phong,KHMT01-K67,06/09/2007,TP HCM,Nam,Diem thi THPT,29.5,20250047@sis.hust.edu.vn,0950101923,So 45 Pho Chua Boc - TP HCM,Dien tu vien thong,Khoa Vien thong,Canh cao,2025,3.77,111,Nguyen Van A
20250048,Dang Van Nam,ATTT03-K68,03/09/2007,Thai Nguyen,Nam,Hoc ba,28.4,20250048@sis.hust.edu.vn,0911331215,So 118 Pho Chua Boc - Thai Nguyen,Dien tu vien thong,Khoa Vien thong,Canh cao,2025,2.62,146,Le Van C
20250049,Tran Quoc Binh,KHMT02-K68,09/10/2004,Ha Tinh,Nam,Tuyen thang,22.2,20250049@sis.hust.edu.vn,0970291830,So 133 Pho Chua Boc - Ha Tinh,Dien tu vien thong,Khoa Vien thong,Dang hoc,2022,2.47,42,Pham Minh D
20250050,Phan Duc Giang,CTTT02-K68,08/04/2007,Thai Nguyen,Nam,Hoc ba,23.7,20250050@sis.hust.edu.vn,0919018904,So 103 Pho Chua Boc - Thai Nguyen,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2025,3.32,54,Hoang Duc E
20250051,Nguyen Hai Vy,ATTT03-K68,17/08/2005,Nam Dinh,Nam,Tuyen thang,22.7,20250051@sis.hust.edu.vn,0921364908,So 91 Pho Chua Boc - Nam Dinh,An toan thong tin,Truong CNTT&TT,Canh cao,2023,3.97,42,Hoang Duc E
20250052,Le Thanh Quan,DTVT01-K68,21/08/2006,Thanh Hoa,Nam,Danh gia nang luc,27.2,20250052@sis.hust.edu.vn,0929511992,So 51 Pho Chua Boc - Thanh Hoa,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2024,2.87,19,Tran Thi B
20250053,Ho Tuan Anh,KHMT02-K68,25/06/2006,Ha Noi,Nam,Diem thi THPT,21.7,20250053@sis.hust.edu.vn,0965312886,So 40 Pho Chua Boc - Ha Noi,Dien tu vien thong,Khoa Vien thong,Dang hoc,2024,1.01,76,Tran Thi B
20250054,Phan Quoc Trang,CNPM01-K68,22/05/2006,Nghe An,Nu,Tuyen thang,23.9,20250054@sis.hust.edu.vn,0926412495,So 133 Pho Chua Boc - Nghe An,Dien tu vien thong,Khoa Vien thong,Dang hoc,2024,2.59,13,Pham Minh D
20250055,Phan Huu Giang,ATTT03-K68,07/11/2007,Bac Ninh,Nam,Danh gia nang luc,29.2,20250055@sis.hust.edu.vn,0967629388,So 82 Pho Chua Boc - Bac Ninh,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2025,3.47,71,Tran Thi B
20250056,Pham Duy Son,CNPM01-K68,10/10/2007,Ha Noi,Nam,Tuyen thang,29.2,20250056@sis.hust.edu.vn,0944676586,So 122 Pho Chua Boc - Ha Noi,Ky thuat may tinh,Khoa Dien tu,Bao luu,2025,1.59,97,Tran Thi B
20250057,Vu Van Oanh,HTTT01-K68,07/12/2006,Quang Ninh,Nam,Diem thi THPT,23.4,20250057@sis.hust.edu.vn,0914777605,So 35 Pho Chua Boc - Quang Ninh,Khoa hoc may tinh,Truong CNTT&TT,Bao luu,2024,1.89,53,Le Van C
20250058,Ho Tuan Hai,CNPM02-K67,04/02/2004,Ha Tinh,Nam,Hoc ba,28.6,20250058@sis.hust.edu.vn,0919174056,So 42 Pho Chua Boc - Ha Tinh,He thong thong tin,Truong CNTT&TT,Dang hoc,2022,2.08,11,Tran Thi B
20250059,Le Quang Hai,KHMT01-K67,12/11/2005,Da Nang,Nu,Danh gia nang luc,21.7,20250059@sis.hust.edu.vn,0926960138,So 29 Pho Chua Boc - Da Nang,Khoa hoc may tinh,Truong CNTT&TT,Canh cao,2023,1.41,83,Hoang Duc E
20250060,Le Minh Tuan,KHMT01-K67,15/01/2005,Hue,Nu,Diem thi THPT,20.3,20250060@sis.hust.edu.vn,0935099940,So 96 Pho Chua Boc - Hue,Ky thuat may tinh,Khoa Dien tu,Bao luu,2023,1.96,81,Nguyen Van A
20250061,Tran Duy Dong,CTTT02-K68,27/07/2005,Nghe An,Nam,Diem thi THPT,27.4,20250061@sis.hust.edu.vn,0968198901,So 129 Pho Chua Boc - Nghe An,Ky thuat may tinh,Khoa Dien tu,Canh cao,2023,3.77,125,Le Van C
20250062,Vu Hai Khoa,ATTT03-K68,05/08/2004,Nghe An,Nu,Hoc ba,25,20250062@sis.hust.edu.vn,0913011480,So 107 Pho Chua Boc - Nghe An,Khoa hoc may tinh,Truong CNTT&TT,Canh cao,2022,1.48,115,Le Van C
20250063,Hoang Quoc Anh,HTTT01-K68,19/02/2005,Thanh Hoa,Nam,Hoc ba,28.6,20250063@sis.hust.edu.vn,0980271088,So 46 Pho Chua Boc - Thanh Hoa,He thong thong tin,Truong CNTT&TT,Bao luu,2023,2.72,105,Le Van C
20250064,Ho Xuan Son,KHMT02-K68,21/03/2007,Ha Tinh,Nu,Danh gia nang luc,25.5,20250064@sis.hust.edu.vn,0926755583,So 131 Pho Chua Boc - Ha Tinh,He thong thong tin,Truong CNTT&TT,Canh cao,2025,2.53,97,Tran Thi B
20250065,Do Quoc Phuc,DTVT01-K68,13/03/2005,Bac Ninh,Nu,Diem thi THPT,24.3,20250065@sis.hust.edu.vn,0986229891,So 86 Pho Chua Boc - Bac Ninh,An toan thong tin,Truong CNTT&TT,Bao luu,2023,2.11,116,Tran Thi B
20250066,Ngo Anh Viet,KHMT02-K68,09/09/2005,Bac Ninh,Nam,Tuyen thang,27.8,20250066@sis.hust.edu.vn,0995525199,So 51 Pho Chua Boc - Bac Ninh,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2023,3.64,29,Hoang Duc E
20250067,Ho Duy Binh,ATTT03-K68,04/01/2004,Quang Nam,Nam,Tuyen thang,22.5,20250067@sis.hust.edu.vn,0969158035,So 8 Pho Chua Boc - Quang Nam,Dien tu vien thong,Khoa Vien thong,Dang hoc,2022,3.14,128,Tran Thi B
20250068,Pham Huu Linh,ATTT03-K68,27/06/2005,Ha Tinh,Nu,Hoc ba,28.7,20250068@sis.hust.edu.vn,0921746808,So 39 Pho Chua Boc - Ha Tinh,Ky thuat may tinh,Khoa Dien tu,Bao luu,2023,3.05,21,Le Van C
20250069,Dang Anh Anh,CNPM01-K68,07/05/2007,Quang Ninh,Nu,Tuyen thang,25.7,20250069@sis.hust.edu.vn,0939768942,So 107 Pho Chua Boc - Quang Ninh,Dien tu vien thong,Khoa Vien thong,Dang hoc,2025,3.12,89,Nguyen Van A
20250070,Dang Duy Vy,KHMT02-K68,22/05/2004,Ha Noi,Nu,Tuyen thang,27.1,20250070@sis.hust.edu.vn,0964113268,So 94 Pho Chua Boc - Ha Noi,An toan thong tin,Truong CNTT&TT,Bao luu,2022,3.5,113,Nguyen Van A
20250071,Pham Duc Anh,ATTT03-K68,08/08/2007,Nghe An,Nam,Diem thi THPT,29.8,20250071@sis.hust.edu.vn,0956001497,So 77 Pho Chua Boc - Nghe An,Ky thuat may tinh,Khoa Dien tu,Canh cao,2025,2.25,90,Le Van C
20250072,Ly Huu Hung,CNPM01-K68,02/05/2004,Thanh Hoa,Nu,Diem thi THPT,20,20250072@sis.hust.edu.vn,0997675587,So 44 Pho Chua Boc - Thanh Hoa,Dien tu vien thong,Khoa Vien thong,Bao luu,2022,1.37,80,Nguyen Van A
20250073,Duong Thanh Mai,CNPM01-K68,06/11/2004,Nghe An,Nam,Diem thi THPT,20.5,20250073@sis.hust.edu.vn,0935677365,So 47 Pho Chua Boc - Nghe An,Dien tu vien thong,Khoa Vien thong,Bao luu,2022,2.06,136,Hoang Duc E
20250074,Do Quoc Nam,DTVT01-K68,10/02/2005,TP HCM,Nu,Tuyen thang,23.9,20250074@sis.hust.edu.vn,0993693266,So 127 Pho Chua Boc - TP HCM,Ky thuat may tinh,Khoa Dien tu,Dang hoc,2023,2.11,93,Tran Thi B
20250075,Phan Xuan Viet,CTTT02-K68,07/10/2005,Can Tho,Nu,Tuyen thang,27.2,20250075@sis.hust.edu.vn,0937869866,So 51 Pho Chua Boc - Can Tho,Dien tu vien thong,Khoa Vien thong,Dang hoc,2023,3.2,64,Le Van C
20250076,Ngo Duc Long,CTTT02-K68,26/02/2007,Quang Ninh,Nu,Hoc ba,26.7,20250076@sis.hust.edu.vn,0992242291,So 132 Pho Chua Boc - Quang Ninh,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2025,2.49,96,Nguyen Van A
20250077,Ho Duy Huy,DTVT01-K68,25/11/2005,Can Tho,Nam,Tuyen thang,22.8,20250077@sis.hust.edu.vn,0952960548,So 111 Pho Chua Boc - Can Tho,Ky thuat may tinh,Khoa Dien tu,Bao luu,2023,3.52,95,Tran Thi B
20250078,Dang Tuan Oanh,HTTT01-K68,24/09/2006,Can Tho,Nam,Diem thi THPT,20,20250078@sis.hust.edu.vn,0930259898,So 88 Pho Chua Boc - Can Tho,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2024,3.02,83,Pham Minh D
20250079,Bui Duy Phuc,CNPM02-K67,08/12/2007,Can Tho,Nam,Hoc ba,21.7,20250079@sis.hust.edu.vn,0956193503,So 108 Pho Chua Boc - Can Tho,Dien tu vien thong,Khoa Vien thong,Bao luu,2025,3.25,140,Le Van C
20250080,Do Anh Yen,DTVT01-K68,07/03/2005,Thai Binh,Nam,Hoc ba,27.9,20250080@sis.hust.edu.vn,0944943090,So 48 Pho Chua Boc - Thai Binh,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2023,1.73,8,Tran Thi B
20250081,Vu Duc Yen,CNPM01-K68,10/07/2005,Hai Phong,Nu,Hoc ba,28.3,20250081@sis.hust.edu.vn,0915113407,So 69 Pho Chua Boc - Hai Phong,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2023,2.13,139,Le Van C
20250082,Dang Thi Dung,CNPM01-K68,15/07/2005,Bac Ninh,Nu,Hoc ba,28,20250082@sis.hust.edu.vn,0949103107,So 90 Pho Chua Boc - Bac Ninh,An toan thong tin,Truong CNTT&TT,Dang hoc,2023,2.51,112,Tran Thi B
20250083,Ly Duy Giang,CTTT02-K68,15/03/2004,Ha Tinh,Nam,Hoc ba,28.8,20250083@sis.hust.edu.vn,0957408194,So 95 Pho Chua Boc - Ha Tinh,He thong thong tin,Truong CNTT&TT,Bao luu,2022,1.2,77,Tran Thi B
20250084,Duong Ngoc Oanh,ATTT03-K68,22/07/2006,Thai Nguyen,Nu,Hoc ba,28.6,20250084@sis.hust.edu.vn,0915380163,So 130 Pho Chua Boc - Thai Nguyen,Cong nghe thong tin,Truong CNTT&TT,Bao luu,2024,2.06,66,Le Van C
20250085,Ngo Thi Hanh,KHMT01-K67,07/02/2006,Ha Noi,Nu,Hoc ba,25.9,20250085@sis.hust.edu.vn,0957232262,So 140 Pho Chua Boc - Ha Noi,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2024,1.91,138,Tran Thi B
20250086,Ngo Anh Mai,ATTT03-K68,15/11/2004,Da Nang,Nu,Diem thi THPT,29,20250086@sis.hust.edu.vn,0925827360,So 29 Pho Chua Boc - Da Nang,He thong thong tin,Truong CNTT&TT,Dang hoc,2022,2.87,0,Pham Minh D
20250087,Duong Thi Trang,HTTT01-K68,23/07/2007,Thai Nguyen,Nu,Danh gia nang luc,25.1,20250087@sis.hust.edu.vn,0973760888,So 97 Pho Chua Boc - Thai Nguyen,An toan thong tin,Truong CNTT&TT,Dang hoc,2025,3.13,72,Hoang Duc E
20250088,Hoang Tuan Giang,HTTT01-K68,06/05/2007,Can Tho,Nu,Danh gia nang luc,28.8,20250088@sis.hust.edu.vn,0949893973,So 97 Pho Chua Boc - Can Tho,Dien tu vien thong,Khoa Vien thong,Dang hoc,2025,1.34,114,Tran Thi B
20250089,Bui Hai Tuan,CNPM02-K67,16/11/2005,Hue,Nam,Danh gia nang luc,25.7,20250089@sis.hust.edu.vn,0964279494,So 29 Pho Chua Boc - Hue,Ky thuat may tinh,Khoa Dien tu,Canh cao,2023,1.89,148,Pham Minh D
20250090,Pham Anh Long,KHMT01-K67,27/12/2005,Nghe An,Nam,Diem thi THPT,23.9,20250090@sis.hust.edu.vn,0990118091,So 119 Pho Chua Boc - Nghe An,Khoa hoc may tinh,Truong CNTT&TT,Bao luu,2023,3.25,115,Pham Minh D
20250091,Vu Thi Phuc,KHMT02-K68,07/08/2005,Ha Noi,Nu,Diem thi THPT,27.7,20250091@sis.hust.edu.vn,0929325828,So 129 Pho Chua Boc - Ha Noi,Dien tu vien thong,Khoa Vien thong,Bao luu,2023,1.35,64,Tran Thi B
20250092,Hoang Ngoc Viet,DTVT01-K68,27/05/2006,Bac Ninh,Nam,Hoc ba,29.5,20250092@sis.hust.edu.vn,0986183385,So 1 Pho Chua Boc - Bac Ninh,Dien tu vien thong,Khoa Vien thong,Dang hoc,2024,3.84,106,Tran Thi B
20250093,Tran Hai Quan,KHMT02-K68,16/04/2007,Hai Phong,Nu,Diem thi THPT,24.4,20250093@sis.hust.edu.vn,0915354077,So 88 Pho Chua Boc - Hai Phong,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2025,1.49,89,Tran Thi B
20250094,Ngo Duc Hung,CNPM02-K67,22/08/2004,Quang Nam,Nu,Danh gia nang luc,25.8,20250094@sis.hust.edu.vn,0995827806,So 27 Pho Chua Boc - Quang Nam,Dien tu vien thong,Khoa Vien thong,Dang hoc,2022,3.82,5,Hoang Duc E
20250095,Ngo Xuan Oanh,DTVT01-K68,17/08/2005,TP HCM,Nam,Diem thi THPT,23.6,20250095@sis.hust.edu.vn,0923653962,So 96 Pho Chua Boc - TP HCM,He thong thong tin,Truong CNTT&TT,Bao luu,2023,1.69,85,Nguyen Van A
20250096,Dang Duy Viet,KHMT01-K67,20/06/2007,Thai Binh,Nu,Danh gia nang luc,25.4,20250096@sis.hust.edu.vn,0938152002,So 87 Pho Chua Boc - Thai Binh,Khoa hoc may tinh,Truong CNTT&TT,Canh cao,2025,2.92,77,Le Van C
20250097,Ngo Anh Son,HTTT01-K68,15/08/2004,Thanh Hoa,Nam,Hoc ba,23.3,20250097@sis.hust.edu.vn,0971840726,So 9 Pho Chua Boc - Thanh Hoa,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2022,2.65,102,Tran Thi B
20250098,Bui Anh Tuan,DTVT01-K68,07/03/2004,Da Nang,Nam,Diem thi THPT,26.4,20250098@sis.hust.edu.vn,0953331356,So 148 Pho Chua Boc - Da Nang,Dien tu vien thong,Khoa Vien thong,Dang hoc,2022,2.71,63,Pham Minh D
